sppnum,gen,spec,genus,species,family,growthform,lifeform,origin,photo
243,eriger,spp.,erigeron,spp.,asteraceae,a,f,n,c3
244,scirpu,atrov,scirpus,atrovirens,cyperaceae,p,s,n,c3
245,allium,spp.,allium,spp.,liliaceae,p,m,n,c3
246,chenop,berla,chenopodium,berlandieri,amaranthaceae,a,f,n,c3
247,lythru,alatu,lythrum,alatum,lythraceae,p,f,n,c3
250,euphor,spp.,euphorbia,spp.,euphorbiaceae,a,f,n,.
253,mirabi,linea,mirabilis,linearis,nyctaginaceae,p,f,n,c3
254,polani,dodec,polanisia,dodecandra,capparaceae,a,f,n,c3
255,monard,fistu,monarda,fistulosa,lamiaceae,a,f,n,c3
256,tricho,brach,trichostema,brachiatum,lamiaceae,a,f,n,c3
257,acalyp,monoc,acalypha,monococca,euphorbiaceae,a,f,n,c3
258,probos,louis,proboscidea,louisianica,pedaliaceae,a,f,n,c3
259,monard,citri,monarda,citriodora,lamiaceae,a,f,n,c3
260,zizia,aurea,zizia,aurea,apiaceae,p,f,n,c3
261,torili,arven,torilis,arvensis,apiaceae,a,f,n,c3
262,rhus,aroma,rhus,aromatica,anacardiaceae,p,w,n,c3
264,arisae,draco,arisaema,dracontium,araceae,p,m,n,c3
265,asclep,sulli,asclepias,sullivantii,asclepiadaceae,p,f,n,c3
266,krigia,cespi,krigia,cespitosa,asteraceae,a,f,n,c3
268,sonchu,asper,sonchus,asper,asteraceae,a,f,i,c3
269,xanthi,strum,xanthium,strumarium,asteraceae,a,f,n,c3
270,symphy,lance,symphyotrichum,lanceolatum,asteraceae,p,f,n,c3
271,helian,petio,helianthus,petiolaris,asteraceae,a,f,n,c3
272,dyssod,pappo,dyssodia,papposa,asteraceae,a,f,n,c3
273,lactuc,canad,lactuca,canadensis,asteraceae,b,f,n,c3
274,conyza,ramos,conyza,ramosissima,asteraceae,a,f,n,c3
275,silphi,lacin,silphium,laciniatum,asteraceae,p,f,n,c3
276,cynogl,offic,cynoglossum,officinale,boraginaceae,b,f,i,c3
277,hackel,virgi,hackelia,virginiana,boraginaceae,b,f,n,c3
278,roripp,nastu,rorippa,nasturtium-aquaticum,brassicaceae,p,f,i,c3
279,erysim,repan,erysimum,repandum,brassicaceae,a,f,i,c3
280,roripp,palus,rorippa,palustris,brassicaceae,a,f,n,c3
281,lobeli,cardi,lobelia,cardinalis,campanulaceae,p,f,n,c3
282,campan,ameri,campanula,americana,campanulaceae,p,f,n,c3
283,cannab,sativ,cannabis,sativa,cannabaceae,a,f,n,c3
284,triost,perfo,triosteum,perfoliatum,caprifoliaceae,p,f,n,c3
285,silene,stell,silene,stellata,caryophyllaceae,p,f,n,c3
286,euonym,atrop,euonymus,atropurpureus,celastraceae,p,w,n,c3
287,chenop,simpl,chenopodium,simplex,amaranthaceae,a,f,n,c3
288,chenop,palle,chenopodium,pallescens,amaranthaceae,a,f,n,c3
289,kochia,scopa,kochia,scoparia,amaranthaceae,a,f,i,c4
290,commel,erect,commelina,erecta,commelinaceae,p,f,n,c3
291,convol,arven,convolvulus,arvensis,convolvulaceae,p,f,i,c3
292,pentho,sedoi,penthorum,sedoides,crassulaceae,p,f,n,c3
293,junipe,virgi,juniperus,virginiana,cupressaceae,p,w,n,c3
294,alopec,carol,alopecurus,carolinianus,poaceae,a,g,n,c3
295,carex,hyste,carex,hystericina,cyperaceae,p,s,n,c3
296,schoen,taber,schoenoplectus,tabernaemontani,cyperaceae,p,s,n,c3
297,scirpu,pendu,scirpus,pendulus,cyperaceae,p,s,n,c3
298,cyperu,acumi,cyperus,acuminatus,cyperaceae,a,s,n,c3
299,euphor,prost,euphorbia,prostrata,euphorbiaceae,a,f,i,c4
300,euphor,nutan,euphorbia,nutans,euphorbiaceae,a,f,n,c4
301,euphor,missu,euphorbia,missurica,euphorbiaceae,a,f,n,c4
302,euphor,cyath,euphorbia,cyathophora,euphorbiaceae,a,f,n,c3
303,croton,capit,croton,capitatus,euphorbiaceae,a,f,n,c3
304,quercu,muehl,quercus,muehlenbergii,fagaceae,p,w,n,c3
305,quercu,macro,quercus,macrocarpa,fagaceae,p,w,n,c3
306,hyperi,perfo,hypericum,perforatum,clusiaceae,p,f,i,c3
307,aescul,glabr,aesculus,glabra,hippocastanaceae,p,w,n,c3
308,sisyri,angus,sisyrinchium,angustifolium,iridaceae,p,m,n,c3
309,carya,cordi,carya,cordiformis,juglandaceae,p,w,n,c3
